Components LCSC : ,name ,value ,Quantity,LCSC code / link,price (€),
,Resistance ,100,1,C105588,0.13,
,,300,1,C2930092,0.12,
",,""5,1k"",2,C2907044,0.11,"
,,1M,1,C2907115,0.08,https://www.lcsc.com/product-detail/C2907044.html
,,10k,11,C98220,0.28,https://www.lcsc.com/product-detail/C2907115.html
,,180k,1,C2906999,0.1,https://www.lcsc.com/product-detail/C2906999.html?s_z=n_q_C2906999
,,1k,5,C22548,0.14,https://www.lcsc.com/product-detail/C22548.html?s_z=n_q_C22548
,,390k,1,C137735,0.15,https://www.lcsc.com/product-detail/C22548.html?s_z=n_q_C22548
",,""2,2k"",2,C4190,0.14,https://www.lcsc.com/product-detail/C137735.html?s_z=n_q_C137735"
,Capacitor,10n,2,C100042,0.23,https://www.lcsc.com/product-detail/C4190.html?s_z=n_q_C4190
,,100n,26,C14663,0.56,https://www.lcsc.com/product-detail/C100042.html?s_z=n_q_C100042
,,10u,4,C440198,1.27,https://www.lcsc.com/product-detail/C14663.html?s_z=n_q_C14663
,,1u,1,C28323,0.24,https://www.lcsc.com/product-detail/C28323.html?s_z=n_q_C28323
,,22u,5,C342620,2.1,https://www.lcsc.com/product-detail/C342620.html?s_z=n_q_C342620
",,""4,7u"",2,C98192,0.18,https://www.lcsc.com/product-detail/C98192.html?s_z=n_q_C98192"
,VEML7700-TT,X,1,C1850416,1.49,https://www.lcsc.com/product-detail/C1850416.html?s_z=n_q_C1850416
,FS8205A,X,1,C2830320,0.52,https://www.lcsc.com/product-detail/C2830320.html?s_z=n_q_C2830320
,YLED0603B (led),Blue,1,C19171394,0.54,https://www.lcsc.com/product-detail/C19171394.html?s_z=n_q_C19171394
,YLED0603G (led),Green,1,C19273151,0.54,https://www.lcsc.com/product-detail/C19273151.html?s_z=n_q_C19273151
,KT-0603R (led),Red,1,C2286,0.59,https://www.lcsc.com/product-detail/C2286.html?s_z=n_q_C2286
,MAX98357AETE+T,X,1,C910544,1.24,https://www.lcsc.com/product-detail/C910544.html?s_z=n_q_C910544
,MCP73871-2AAI/ML,X,1,C144351,2.74,https://www.lcsc.com/product-detail/C144351.html?s_z=n_q_C144351
,MT3608,X,2,C84817,0.69,https://www.lcsc.com/product-detail/C84817.html?s_z=n_q_C84817
,SS14 (diode),X,2,C2837270,0.48,https://www.lcsc.com/product-detail/C2837270.html?s_z=n_q_C2837270
,AHT20,X,1,C2757850,0.58,https://www.lcsc.com/product-detail/C2757850.html?s_z=n_q_C2757850
,MCP23017T-E/ML,X,1,C629439,1.46,https://www.lcsc.com/product-detail/C629439.html?s_z=n_q_C629439
,micro sd card port,X,1,C506790,3.66,https://www.lcsc.com/product-detail/C2765186.html?s_z=n_q_C2765186
,USB-C port,X,1,C2765186,1.17,https://www.lcsc.com/product-detail/C2765186.html?s_z=n_q_C2765186
,DW01A,X,1,C351410,0.75,https://www.lcsc.com/product-detail/C351410.html?s_z=n_q_C351410
,Coil,22u,2,C2826664,0.64,https://www.lcsc.com/product-detail/C2826664.html?s_z=n_q_C2826664
,AMS1117-3.3,X,1,C6186,0.99,https://www.lcsc.com/product-detail/C6186.html?s_z=n_q_C6186
,AO3400A,X,2,C20917,0.36,https://www.lcsc.com/product-detail/C20917.html?s_z=n_q_C20917
,FFC / FPC connector 1mm,8 pins ,4,C262714,0.99,https://www.lcsc.com/product-detail/C262714.html?s_z=n_q_C262714
,,12 pins,2,C262718,1.1,https://www.lcsc.com/product-detail/C262718.html?s_z=n_q_C262718
,ESP32-S3-WROOM-1,X,1,C2913202,4.58,https://www.lcsc.com/product-detail/C2913202.html?s_z=n_q_C2913202
,,,,,30.94,
,,,,,,
Others components (not in LCSC),Switch push buttons,6mm.6mm.5.5mm,17,Link,1.22,
,EC11 rotary encoder,X,1,Link,1.33,https://fr.aliexpress.com/item/1005001629177989.html?spm=a2g0o.order_list.order_list_main.62.7ad85e5buKfVZj&gatewayAdapt=glo2fra
,Touch screen ,4 inch,1,Link,14.39,https://fr.aliexpress.com/item/1005006298192363.html?spm=a2g0o.productlist.main.4.3cc17PcV7PcVoP&aem_p4p_detail=20260420051937581850722750000002583780&algo_pvid=de204b02-7f59-4117-92db-e18d65619d3b&algo_exp_id=de204b02-7f59-4117-92db-e18d65619d3b-3&pdp_ext_f=%7B%22order%22%3A%22120%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.42%214.39%21%21%2134.64%2134.38%21%40211b441e17766875772772830e9790%2112000036662929125%21sea%21FR%214574440125%21X%211%210%21n_tag%3A-29919%3Bd%3Adeb9f4e8%3Bm03_new_user%3A-29895&curPageLogUid=gooq9QGv7BWw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006298192363%7C_p_origin_prod%3A&search_p4p_id=20260420051937581850722750000002583780_1
